,Radiant_team_id,Radiant_team_rating,Dire_team_id,Dire_team_rating,Radiant_hero1,Radiant_hero2,Radiant_hero3,Radiant_hero4,Radiant_hero5,Dire_hero1,Dire_hero2,Dire_hero3,Dire_hero4,Dire_hero5,Radiant_win,Radiant_fb,Radiant_10kill,start_time
491,1838315,1491.97,1375614,1360.51,84,86,102,94,59,112,29,107,43,114,True,False,True,1512162376
492,1375614,1360.51,2512249,1155.77,5,60,8,65,63,51,13,91,99,57,True,True,True,1496113819
495,5067988,1088.22,5109000,1000,16,86,65,54,13,27,108,23,20,9,True,True,True,1513322355
501,3349045,1137.7,5,1294.52,114,102,104,79,74,65,40,7,1,87,False,True,True,1507799057
504,1883502,1568.6,111474,1084.27,91,19,85,72,96,69,3,50,8,65,False,False,True,1449163103
505,1148284,1109.51,350190,1338.47,58,76,20,8,107,74,69,67,111,38,False,False,False,1459155900
506,111474,1084.27,2163,1452,85,13,86,77,37,100,65,74,75,70,False,False,False,1450351069
507,36,1186.73,2621843,1211.4,114,106,86,53,95,28,37,40,8,66,True,False,True,1492887504
508,370775,1000,2659468,1165.6,96,20,50,78,35,87,84,11,2,98,False,False,False,1489121342
509,2586976,1351.81,5154470,1000,86,66,96,34,54,62,27,78,98,113,True,True,True,1517925756
511,2537636,1000,26,1058.92,51,11,64,60,15,37,38,39,62,94,False,True,True,1495215598
512,1375614,1360.51,2108395,1429.43,86,28,29,114,35,16,109,50,40,19,False,True,False,1522576778
513,1375614,1360.51,2208748,1088.28,54,111,58,2,43,65,26,60,46,34,True,True,True,1464180725
514,2626685,1210.14,5141124,1000,3,103,9,43,77,15,16,84,29,22,True,False,True,1515653984
515,2860414,1000,1951061,1203.65,107,111,13,70,60,20,65,63,73,85,False,False,False,1468301409
516,2822317,1000,4,1160.77,107,25,75,33,93,114,50,54,73,57,False,False,False,1492585195
517,3260216,1102.82,3262512,1064.62,31,88,9,69,45,13,27,114,7,81,False,False,True,1508837397
518,2626685,1210.14,5036221,1050.02,16,3,43,65,94,19,37,49,81,30,True,False,True,1515485234
531,2640025,1232.58,726228,1396.74,16,32,68,54,98,86,8,2,92,74,True,True,True,1477711095
532,1883502,1568.6,55,1140.79,26,55,74,93,62,20,65,111,13,67,True,True,True,1463486380
535,24,1048.25,2767921,1000,41,87,8,98,110,28,103,74,6,20,True,False,True,1466928730
538,3322300,1000,24,1048.25,2,23,101,8,10,98,37,60,111,94,True,True,True,1476363498
540,2244697,1158.18,1148284,1109.51,100,72,86,17,57,39,51,90,1,79,True,False,True,1437932027
541,1884355,1113.94,3,1287.81,103,26,38,93,74,8,107,87,29,98,False,False,True,1466968324
542,4647623,1000,4592777,1101.82,55,60,71,36,70,88,77,86,49,58,True,True,True,1499267551
545,2860081,1093.46,3349045,1137.7,51,11,27,20,70,88,92,107,39,18,False,False,False,1496041130
546,2689801,1000,2663239,1050.62,53,65,8,75,3,27,20,28,93,73,False,False,False,1453813695
548,3619395,1000,3510968,1041.24,79,52,28,10,46,84,37,54,88,19,False,False,False,1482410739
550,2006913,1291.81,2642171,1201.24,108,111,70,11,65,28,98,68,63,46,False,False,False,1485619539
551,3849887,1072.95,2521184,1000,80,16,90,86,8,91,36,62,39,17,True,True,True,1488741048
554,5,1294.52,1883502,1568.6,72,100,86,73,50,39,62,52,81,110,True,False,False,1443908811
555,2085365,1181.13,2586976,1351.81,91,3,39,99,52,69,19,85,112,15,False,False,True,1446653125
556,1252040,1000,883783,1123.81,11,87,51,20,67,89,79,7,50,25,False,True,False,1435045742
558,2519319,1389,2006913,1291.81,55,84,64,46,40,11,50,100,89,2,True,True,False,1443549702
560,55,1140.79,2552670,1159.36,51,86,6,112,46,37,8,104,22,41,True,False,False,1478711828
561,3333433,1144.45,2701329,1087.32,65,85,54,87,106,37,48,55,71,70,False,False,True,1482020179
566,39,1451.66,1883502,1568.6,39,112,89,100,59,4,86,71,22,75,True,True,True,1435773598
567,2643401,1083.38,1375614,1360.51,111,32,43,65,1,55,107,39,89,62,True,True,False,1466078399
569,5,1294.52,1375614,1360.51,73,91,50,88,59,26,8,38,74,68,False,True,False,1462341494
571,2006913,1291.81,46,1171.65,80,13,5,62,42,66,70,20,43,55,True,True,True,1459276810
